repetition,tolerance,buffer_capacity_1,buffer_capacity_2,lambda_1_1,lambda_1_2,lambda_2,mu_1,mu_2,num_of_servers_1,num_of_servers_2,system_capacity_1,system_capacity_2,threshold_1,threshold_2,time_taken
64,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8337302207946777
65,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.855064868927002
66,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.9482343196868896
67,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.984003782272339
68,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.001171827316284
69,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.834881544113159
70,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8324453830718994
71,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.869127035140991
72,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.84269380569458
73,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.853651523590088
74,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.4110193252563477
75,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,4.927081108093262
76,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,4.139904975891113
77,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.776163339614868
78,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.787457227706909
79,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9710214138031006
80,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8712942600250244
81,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8516769409179688
82,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9026477336883545
83,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8524012565612793
84,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8471977710723877
85,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.6626248359680176
86,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9077324867248535
87,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.883043050765991
88,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.863410472869873
89,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.831909656524658
90,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.0079293251037598
91,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8488471508026123
92,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8501620292663574
93,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9983439445495605
94,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.830484628677368
95,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.831566333770752
96,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8370587825775146
97,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8401925563812256
98,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8396596908569336
99,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.830925941467285
100,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8631341457366943
101,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9032349586486816
102,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.816431999206543
103,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.7655577659606934
104,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.896195411682129
105,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.84787654876709
106,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8593475818634033
107,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8655524253845215
108,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8523781299591064
109,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.934744119644165
110,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8570265769958496
111,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.884416103363037
112,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8867523670196533
113,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.878218412399292
114,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8572185039520264
115,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8809866905212402
116,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.884305477142334
117,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8790135383605957
118,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.864352226257324
119,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8377115726470947
120,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8368070125579834
121,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.842167854309082
122,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8398005962371826
123,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8730671405792236
124,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8959858417510986
125,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.887317180633545
126,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.88488507270813
127,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.866347312927246
128,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8539533615112305
129,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8530960083007812
130,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8773419857025146
131,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.89532208442688
132,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8649075031280518
133,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.846397638320923
134,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.87139630317688
135,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.834881544113159
136,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8515632152557373
137,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.842783212661743
138,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8511500358581543
139,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8476006984710693
140,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8355467319488525
141,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8318049907684326
142,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.844132423400879
143,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.82944917678833
144,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8831238746643066
145,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8750717639923096
146,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.348951578140259
147,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.855304479598999
148,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8429176807403564
149,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.855915069580078
150,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8667080402374268
151,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8477327823638916
152,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.859020233154297
153,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8389954566955566
154,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.834543466567993
155,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.827289581298828
