repetition,tolerance,buffer_capacity_1,buffer_capacity_2,lambda_1_1,lambda_1_2,lambda_2,mu_1,mu_2,num_of_servers_1,num_of_servers_2,system_capacity_1,system_capacity_2,threshold_1,threshold_2,time_taken
65,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.943636655807495
66,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9564173221588135
67,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.96183443069458
68,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.96132755279541
69,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9533164501190186
70,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.987529039382935
71,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.0664520263671875
72,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.264853000640869
73,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.1134467124938965
74,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.988651275634766
75,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.963702440261841
76,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9514851570129395
77,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.971861124038696
78,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.958035469055176
79,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.976081132888794
80,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9673216342926025
81,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9784934520721436
82,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.933881521224976
83,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.94306206703186
84,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9429850578308105
85,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.956073522567749
86,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.956510066986084
87,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.972969055175781
88,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.939184904098511
89,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.949323654174805
90,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.939521789550781
91,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.954995155334473
92,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.956890821456909
93,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.939339876174927
94,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.954883337020874
95,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.969131231307983
96,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.942102432250977
97,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.95651388168335
98,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.947983980178833
99,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.955026626586914
100,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.946069240570068
101,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.962049722671509
102,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9530229568481445
103,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.954946279525757
104,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.948008060455322
105,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.947531700134277
106,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.960207939147949
107,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.945024251937866
108,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.92584228515625
109,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.94023871421814
110,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.930481433868408
111,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.949749708175659
112,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.925429821014404
113,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.942295789718628
114,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.927231073379517
115,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.964303016662598
116,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.972900629043579
117,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.961843013763428
118,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.974334955215454
119,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.95246434211731
120,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.995860815048218
121,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.950968265533447
122,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.984241247177124
123,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.959468126296997
124,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9384636878967285
125,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.956486225128174
126,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9705610275268555
127,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.947541236877441
128,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.935287237167358
129,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9610090255737305
130,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.943924903869629
131,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.956680059432983
132,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.957390069961548
133,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9396703243255615
134,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.936295509338379
135,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.944696426391602
136,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.948160409927368
